,Date,High,Low,Open,Close,Volume,Adj Close
1,1/3/2000,1478,1438.359985,1469.25,1455.219971,931800000,1455.219971
2,1/4/2000,1455.219971,1397.430054,1455.219971,1399.420044,1009000000,1399.420044
3,1/5/2000,1413.27002,1377.680054,1399.420044,1402.109985,1085500000,1402.109985
4,1/6/2000,1411.900024,1392.099976,1402.109985,1403.449951,1092300000,1403.449951
5,1/7/2000,1441.469971,1400.72998,1403.449951,1441.469971,1225200000,1441.469971
6,1/10/2000,1464.359985,1441.469971,1441.469971,1457.599976,1064800000,1457.599976
7,1/11/2000,1458.660034,1434.420044,1457.599976,1438.560059,1014000000,1438.560059
8,1/12/2000,1442.599976,1427.079956,1438.560059,1432.25,974600000,1432.25
9,1/13/2000,1454.199951,1432.25,1432.25,1449.680054,1030400000,1449.680054
10,1/14/2000,1473,1449.680054,1449.680054,1465.150024,1085900000,1465.150024
11,1/18/2000,1465.150024,1451.300049,1465.150024,1455.140015,1056700000,1455.140015
12,1/19/2000,1461.390015,1448.680054,1455.140015,1455.900024,1087800000,1455.900024
13,1/20/2000,1465.709961,1438.540039,1455.900024,1445.569946,1100700000,1445.569946
14,1/21/2000,1453.180054,1439.599976,1445.569946,1441.359985,1209800000,1441.359985
15,1/24/2000,1454.089966,1395.420044,1441.359985,1401.530029,1115800000,1401.530029
16,1/25/2000,1414.26001,1388.48999,1401.530029,1410.030029,1073700000,1410.030029
17,1/26/2000,1412.72998,1400.160034,1410.030029,1404.089966,1117300000,1404.089966
18,1/27/2000,1418.859985,1370.98999,1404.089966,1398.560059,1129500000,1398.560059
19,1/28/2000,1398.560059,1356.199951,1398.560059,1360.160034,1095800000,1360.160034
20,1/31/2000,1394.47998,1350.140015,1360.160034,1394.459961,993800000,1394.459961
21,2/1/2000,1412.48999,1384.790039,1394.459961,1409.280029,981000000,1409.280029
22,2/2/2000,1420.609985,1403.48999,1409.280029,1409.119995,1038600000,1409.119995
23,2/3/2000,1425.780029,1398.52002,1409.119995,1424.969971,1146500000,1424.969971
24,2/4/2000,1435.910034,1420.630005,1424.969971,1424.369995,1045100000,1424.369995
25,2/7/2000,1427.150024,1413.329956,1424.369995,1424.23999,918100000,1424.23999
26,2/8/2000,1441.829956,1424.23999,1424.23999,1441.719971,1047700000,1441.719971
27,2/9/2000,1444.550049,1411.650024,1441.719971,1411.709961,1050500000,1411.709961
28,2/10/2000,1422.099976,1406.430054,1411.699951,1416.829956,1058800000,1416.829956
29,2/11/2000,1416.829956,1378.890015,1416.829956,1387.119995,1025700000,1387.119995
30,2/14/2000,1394.930054,1380.530029,1387.119995,1389.939941,927300000,1389.939941
31,2/15/2000,1407.719971,1376.25,1389.939941,1402.050049,1092100000,1402.050049
32,2/16/2000,1404.550049,1385.579956,1402.050049,1387.670044,1018800000,1387.670044
33,2/17/2000,1399.880005,1380.069946,1387.670044,1388.26001,1034800000,1388.26001
34,2/18/2000,1388.589966,1345.319946,1388.26001,1346.089966,1042300000,1346.089966
35,2/22/2000,1358.109985,1331.880005,1346.089966,1352.170044,980000000,1352.170044
